name,brand,unit,vendor_id
MegaChef Oyster sauce(gluten free),gallon,Gallon,3
Graded Sugar,25kg,Bag,3
Palm Sugar,30x500g,Box,3
White Vinegar,Edlyn 4 litres,Bottle,3
Sweet Chilli Sauce,Pantai 4500ml,Gallon,3
Tomato Sauce,White crow 4 litres,Gallon,3
Chilli paste (prik poa),Pantai 3 kgs,Can,3
Prawn Cracker,Oceanic 2 kgs,Box,3
Peanut butter (smooth),,Tub,3
Water Chestnut,Big Can,Can,3
Baby corn,Big Can,Can,3
Bamboo Shoot,Big Can,Can,3
Red Curry Paste,Maesri (box),Box,3
Green Curry Paste,Maesri (box),Box,3
Masaman Curry Paste,Maesri (box),Box,3
Panang Curry Paste,Maesri (box),Box,3
Tamarind concentrate,,Bottle,3
Pickled Ginger (Strip),454g,Jar,3
Tomyum soup paste,908g,Jar,3
Salted Soy Bean ,Yeo 458 g,Jar,3
Mango,,Cans,3
Lemon juice,1 litre,Bottle,3
Crushed chilli (dry),1 kg,Bag,3
Coconut Milk,Hom-Dee,Carton,3
Vegetable oil,Gallon,Gallon,3
Salt,,Bag,3
Baramandi,,Carton,3
Palm sugar (soft) NOT Liquid,,Pack,3
Megachef Soy Sauce (Gluten Free),Gallon 4500ml,Gallon,3
Squid Pineapple Cut (1 KG),,Bag,3
ข้าวต้มมัดไส้กล้วย, ,unit,3
Spring roll pastry,"TYJ  5""  box",Carton,3
Yellow curry paste,Mae Ploy 1kg,Tub,3
Sesame oil,Yeo 500ml,Bottle,3
Roasted Peanut (Coarse),5kg,Pack,3
Roasted Peanut (Fine),5kg,Pack,3
Shred Coconut,Perfect 1kg,Bag,3
Fried Shallot,1 kg,Pack,3
Sweet Paprika,Perfect 1kg,Bag,3
Whole white pepper,Perfect 1kg,Bag,3
Mild curry powder,500 g,Bag,3
Turmeric powder,Perfect 1kg,Bag,3
Cumin powder,Perfect 1kg,Pack,3
Lychees,,Cans,3
Rambutans,,Cans,3
Longans,,Cans,3
Pearl Sago,250g,Bag,3
Shrimp & banana flour,Rooster 340g,Bag,3
Fish sauce,Squid 725ml,Bottle,3
Soy sauce,Healthy boy 700ml,Bottle,3
Green label seasoning,Nguan Chiang 700ml,Bottle,3
Sriracha chilli sauce,750ml,Bottle,3
Mushroom dark sauce,750ml,Bottle,3
Frozen Rock Ling Fish fillet,5 kg,Box,3
Frozen mussel,,Pack,3
Crushed Garlic,1kg,Tub,3
Roti Canai,500g,Packs,3
Rice Noodle (Medium),Dee Dee,Box,3
Cashew Nut,,Bag,3
ข้าวสาร มหานคร  (หอมมะลิ ผสม),25 kg,Bag,3
วุ้นเส้น, ,Bag,3
 Tofu แบบแช็ง, ,Pack,3
Frozen Chilli (RED),,Pack,3
Chang Beer,,Carton,3
Singha Beer,,Carton,3
"Satay skewer 6""",,bunch (20small pk),3
seafood salad mix (FSM) chunk,,Bag,3
Sliced Chicken Breast for stir fried ,,kg,5
Chicken breast fillet skin off,,kg,5
Chicken Maryland fillet SKIN ON,,kg,5
Chicken Mince,,kg,5
Pork Fillet,,kg,5
Pork Neck,,kg,5
Whole rump,,kg,5
Sliced Rump Beef for stir fried,,kg,5
Pork Mince,,kg,5
Diced Chuck Beef,,kg,5
Diced Lamb,,kg,5
G650 Containers,,Box,6
G500 Containers,,Box,6
G LID,,Box,6
120 mm Round LID,,Box,6
500ml Round Containers,,Box,6
Paper Roll Towels,,Box,6
Sauce Containers 50ml,,Box,6
Dishwasher Liquid,,Gallon,6
Degreasing Chemical,,Gallon,6
Sanitiser,,Gallon,6
Plastic bag - Small,,Box,6
Plastic bag - Medium,,Box,6
Cinnamon stick,,Bag,3
กระชาย,ขวด,Jar,3
พริกไทยอ่อน,ขวด,Jar,3
ขนมหม้อแกง,Coconut custard,Unit,3
ซอสเย็นตาโฟ,ม้าบิน,Unit,3
Whole lemongrass,,Pack,3
Frozen lime leaf,,Bag,3
Roti bag 2long,,Pack,6
Lemon Tea,Na  Arun,Unit,3
Thai milk tea,Na Arun,Unit,3
ก๋วยเตี๋ยวเซี่ยงไฮ้,มังกรคู่,Pack,3
Chicken spare rip,,Kg,5
Sesame seed,,Bag,3
Sticky rice,,1 kg,3
น้ำพริกแกงเผ็ดนิตยา,,Pack,3
Broccoli,,Box,4
Cauliflower,,Pc,4
Carrot,,Box,4
Zucchini,,Box,4
Beanshoot,,Bag,4
Celery,,Bunch,4
Mixed Salad,,Box,4
